Location,DataId,Indicator,Value,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,SDRID,RegionId,SurveyType,DenominatorWeighted,DenominatorUnweighted,LevelRank
Mandera,6761249,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416023,1416023,EDLITRWBLD,KEDHS2014416023,DHS,175,523,2
Eastern,6754763,Women who are blind/visually impaired,0.2,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416004,1416030,EDLITRWBLD,KEDHS2014416004,DHS,4375,5247,1
Marsabit,4762875,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416031,1416031,EDLITRWBLD,KEDHS2014416031,DHS,115,575,2
Isiolo,7346621,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416032,1416032,EDLITRWBLD,KEDHS2014416032,DHS,104,606,2
Meru,7150091,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416033,1416033,EDLITRWBLD,KEDHS2014416033,DHS,1110,682,2
Tharaka-Nithi,3782928,Women who are blind/visually impaired,0.2,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416034,1416034,EDLITRWBLD,KEDHS2014416034,DHS,275,528,2
Embu,5713263,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416035,1416035,EDLITRWBLD,KEDHS2014416035,DHS,459,645,2
Kitui,3330124,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416036,1416036,EDLITRWBLD,KEDHS2014416036,DHS,759,747,2
Machakos,5862025,Women who are blind/visually impaired,0.8,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416037,1416037,EDLITRWBLD,KEDHS2014416037,DHS,873,718,2
Makueni,1300658,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416038,1416038,EDLITRWBLD,KEDHS2014416038,DHS,680,746,2
Central,5669618,Women who are blind/visually impaired,0.1,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416002,1416040,EDLITRWBLD,KEDHS2014416002,DHS,3994,3114,1
Nyandarua,2340835,Women who are blind/visually impaired,0.2,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416041,1416041,EDLITRWBLD,KEDHS2014416041,DHS,436,562,2
Nyeri,6781117,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416042,1416042,EDLITRWBLD,KEDHS2014416042,DHS,650,708,2
Kirinyaga,6496680,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416043,1416043,EDLITRWBLD,KEDHS2014416043,DHS,451,560,2
Murang'a,6619709,Women who are blind/visually impaired,0.3,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416044,1416044,EDLITRWBLD,KEDHS2014416044,DHS,735,633,2
Kiambu,6264013,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416045,1416045,EDLITRWBLD,KEDHS2014416045,DHS,1722,651,2
Rift Valley,4243556,Women who are blind/visually impaired,0.1,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416006,1416050,EDLITRWBLD,KEDHS2014416006,DHS,7953,9059,1
Turkana,4546840,Women who are blind/visually impaired,0.3,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416051,1416051,EDLITRWBLD,KEDHS2014416051,DHS,320,514,2
West Pokot,2096662,Women who are blind/visually impaired,0.1,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416052,1416052,EDLITRWBLD,KEDHS2014416052,DHS,267,534,2
Samburu,1853706,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416053,1416053,EDLITRWBLD,KEDHS2014416053,DHS,123,579,2
Trans-Nzoia,7510192,Women who are blind/visually impaired,0.1,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416054,1416054,EDLITRWBLD,KEDHS2014416054,DHS,768,695,2
Uasin Gishu,3322775,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416055,1416055,EDLITRWBLD,KEDHS2014416055,DHS,784,689,2
Elgeyo Marakwet,5856308,Women who are blind/visually impaired,0.1,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416056,1416056,EDLITRWBLD,KEDHS2014416056,DHS,250,630,2
Nandi,1293524,Women who are blind/visually impaired,0.2,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416057,1416057,EDLITRWBLD,KEDHS2014416057,DHS,628,742,2
Baringo,5902746,Women who are blind/visually impaired,0.3,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416058,1416058,EDLITRWBLD,KEDHS2014416058,DHS,335,598,2
Laikipia,4966993,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416059,1416059,EDLITRWBLD,KEDHS2014416059,DHS,342,631,2
Nakuru,2350184,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416060,1416060,EDLITRWBLD,KEDHS2014416060,DHS,1574,741,2
Narok,5372510,Women who are blind/visually impaired,0.1,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416061,1416061,EDLITRWBLD,KEDHS2014416061,DHS,642,702,2
Kajiado,6877629,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416062,1416062,EDLITRWBLD,KEDHS2014416062,DHS,670,642,2
Kericho,6611773,Women who are blind/visually impaired,0.7,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416063,1416063,EDLITRWBLD,KEDHS2014416063,DHS,563,654,2
Bomet,4735875,Women who are blind/visually impaired,0.1,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416064,1416064,EDLITRWBLD,KEDHS2014416064,DHS,687,708,2
Western,2350129,Women who are blind/visually impaired,0.6,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416007,1416070,EDLITRWBLD,KEDHS2014416007,DHS,3225,2840,1
Kakamega,7140621,Women who are blind/visually impaired,1.1,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416071,1416071,EDLITRWBLD,KEDHS2014416071,DHS,1108,725,2
Vihiga,1846876,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416072,1416072,EDLITRWBLD,KEDHS2014416072,DHS,368,634,2
Bungoma,7559995,Women who are blind/visually impaired,0.3,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416073,1416073,EDLITRWBLD,KEDHS2014416073,DHS,1203,805,2
Busia,3930429,Women who are blind/visually impaired,0.7,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416074,1416074,EDLITRWBLD,KEDHS2014416074,DHS,546,676,2
Nyanza,4901215,Women who are blind/visually impaired,0.4,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416005,1416080,EDLITRWBLD,KEDHS2014416005,DHS,4038,4254,1
Siaya,6884902,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416081,1416081,EDLITRWBLD,KEDHS2014416081,DHS,572,654,2
Kisumu,6344525,Women who are blind/visually impaired,0.4,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416082,1416082,EDLITRWBLD,KEDHS2014416082,DHS,820,696,2
Homa Bay,4749697,Women who are blind/visually impaired,0.6,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416083,1416083,EDLITRWBLD,KEDHS2014416083,DHS,798,716,2
Migori,7036542,Women who are blind/visually impaired,0.8,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416084,1416084,EDLITRWBLD,KEDHS2014416084,DHS,650,770,2
Kisii,5232358,Women who are blind/visually impaired,0.3,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416085,1416085,EDLITRWBLD,KEDHS2014416085,DHS,864,794,2
Nyamira,2357739,Women who are blind/visually impaired,0,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416086,1416086,EDLITRWBLD,KEDHS2014416086,DHS,334,624,2
Nairobi,4707503,Women who are blind/visually impaired,0.2,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416001,1416090,EDLITRWBLD,KEDHS2014416001,DHS,3770,999,1
Nairobi,4707504,Women who are blind/visually impaired,0.2,2014,KE2014DHS,ED_LITR_W_BLD,231233060,I,416001,1416090,EDLITRWBLD,KEDHS2014416001,DHS,3770,999,2
Coast,6551867,Women with missing information on literacy,0.4,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416003,1416010,EDLITRWMIS,KEDHS2014416003,DHS,3076,3902,1
Mombasa,1464930,Women with missing information on literacy,0.8,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416011,1416011,EDLITRWMIS,KEDHS2014416011,DHS,912,598,2
Kwale,1947330,Women with missing information on literacy,0.6,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416012,1416012,EDLITRWMIS,KEDHS2014416012,DHS,619,671,2
Kilifi,4533634,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416013,1416013,EDLITRWMIS,KEDHS2014416013,DHS,1043,824,2
Tana River,2812576,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416014,1416014,EDLITRWMIS,KEDHS2014416014,DHS,197,686,2
Lamu,2066968,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416015,1416015,EDLITRWMIS,KEDHS2014416015,DHS,89,600,2
Taita Taveta,5693546,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416016,1416016,EDLITRWMIS,KEDHS2014416016,DHS,215,523,2
North Eastern,4847238,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416008,1416020,EDLITRWMIS,KEDHS2014416008,DHS,648,1664,1
Garissa,4927742,Women with missing information on literacy,0.3,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416021,1416021,EDLITRWMIS,KEDHS2014416021,DHS,261,609,2
Wajir,6572780,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416022,1416022,EDLITRWMIS,KEDHS2014416022,DHS,212,532,2
Mandera,6761247,Women with missing information on literacy,0.3,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416023,1416023,EDLITRWMIS,KEDHS2014416023,DHS,175,523,2
Eastern,6754766,Women with missing information on literacy,0.1,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416004,1416030,EDLITRWMIS,KEDHS2014416004,DHS,4375,5247,1
Marsabit,4762882,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416031,1416031,EDLITRWMIS,KEDHS2014416031,DHS,115,575,2
Isiolo,7346628,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416032,1416032,EDLITRWMIS,KEDHS2014416032,DHS,104,606,2
Meru,7150264,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416033,1416033,EDLITRWMIS,KEDHS2014416033,DHS,1110,682,2
Tharaka-Nithi,3782937,Women with missing information on literacy,0.5,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416034,1416034,EDLITRWMIS,KEDHS2014416034,DHS,275,528,2
Embu,5713298,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416035,1416035,EDLITRWMIS,KEDHS2014416035,DHS,459,645,2
Kitui,3330122,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416036,1416036,EDLITRWMIS,KEDHS2014416036,DHS,759,747,2
Machakos,5862023,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416037,1416037,EDLITRWMIS,KEDHS2014416037,DHS,873,718,2
Makueni,1300693,Women with missing information on literacy,0.1,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416038,1416038,EDLITRWMIS,KEDHS2014416038,DHS,680,746,2
Central,5669622,Women with missing information on literacy,0.6,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416002,1416040,EDLITRWMIS,KEDHS2014416002,DHS,3994,3114,1
Nyandarua,2340856,Women with missing information on literacy,0.4,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416041,1416041,EDLITRWMIS,KEDHS2014416041,DHS,436,562,2
Nyeri,6781131,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416042,1416042,EDLITRWMIS,KEDHS2014416042,DHS,650,708,2
Kirinyaga,6496688,Women with missing information on literacy,0.9,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416043,1416043,EDLITRWMIS,KEDHS2014416043,DHS,451,560,2
Murang'a,6619716,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416044,1416044,EDLITRWMIS,KEDHS2014416044,DHS,735,633,2
Kiambu,6264018,Women with missing information on literacy,1,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416045,1416045,EDLITRWMIS,KEDHS2014416045,DHS,1722,651,2
Rift Valley,4243581,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416006,1416050,EDLITRWMIS,KEDHS2014416006,DHS,7953,9059,1
Turkana,4546847,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416051,1416051,EDLITRWMIS,KEDHS2014416051,DHS,320,514,2
West Pokot,2096664,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416052,1416052,EDLITRWMIS,KEDHS2014416052,DHS,267,534,2
Samburu,1853708,Women with missing information on literacy,0.3,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416053,1416053,EDLITRWMIS,KEDHS2014416053,DHS,123,579,2
Trans-Nzoia,7510194,Women with missing information on literacy,0.1,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416054,1416054,EDLITRWMIS,KEDHS2014416054,DHS,768,695,2
Uasin Gishu,3322777,Women with missing information on literacy,0.1,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416055,1416055,EDLITRWMIS,KEDHS2014416055,DHS,784,689,2
Elgeyo Marakwet,5856310,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416056,1416056,EDLITRWMIS,KEDHS2014416056,DHS,250,630,2
Nandi,1293565,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416057,1416057,EDLITRWMIS,KEDHS2014416057,DHS,628,742,2
Baringo,5902725,Women with missing information on literacy,1,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416058,1416058,EDLITRWMIS,KEDHS2014416058,DHS,335,598,2
Laikipia,4967013,Women with missing information on literacy,0.3,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416059,1416059,EDLITRWMIS,KEDHS2014416059,DHS,342,631,2
Nakuru,2350186,Women with missing information on literacy,0.4,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416060,1416060,EDLITRWMIS,KEDHS2014416060,DHS,1574,741,2
Narok,5372515,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416061,1416061,EDLITRWMIS,KEDHS2014416061,DHS,642,702,2
Kajiado,6877644,Women with missing information on literacy,0.1,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416062,1416062,EDLITRWMIS,KEDHS2014416062,DHS,670,642,2
Kericho,6611780,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416063,1416063,EDLITRWMIS,KEDHS2014416063,DHS,563,654,2
Bomet,4735927,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416064,1416064,EDLITRWMIS,KEDHS2014416064,DHS,687,708,2
Western,2350154,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416007,1416070,EDLITRWMIS,KEDHS2014416007,DHS,3225,2840,1
Kakamega,7140623,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416071,1416071,EDLITRWMIS,KEDHS2014416071,DHS,1108,725,2
Vihiga,1846878,Women with missing information on literacy,0.3,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416072,1416072,EDLITRWMIS,KEDHS2014416072,DHS,368,634,2
Bungoma,7559997,Women with missing information on literacy,0.4,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416073,1416073,EDLITRWMIS,KEDHS2014416073,DHS,1203,805,2
Busia,3930436,Women with missing information on literacy,0.1,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416074,1416074,EDLITRWMIS,KEDHS2014416074,DHS,546,676,2
Nyanza,4901219,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416005,1416080,EDLITRWMIS,KEDHS2014416005,DHS,4038,4254,1
Siaya,6884909,Women with missing information on literacy,0.4,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416081,1416081,EDLITRWMIS,KEDHS2014416081,DHS,572,654,2
Kisumu,6344538,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416082,1416082,EDLITRWMIS,KEDHS2014416082,DHS,820,696,2
Homa Bay,4749706,Women with missing information on literacy,0,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416083,1416083,EDLITRWMIS,KEDHS2014416083,DHS,798,716,2
Migori,7036573,Women with missing information on literacy,0.3,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416084,1416084,EDLITRWMIS,KEDHS2014416084,DHS,650,770,2
Kisii,5232367,Women with missing information on literacy,0.1,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416085,1416085,EDLITRWMIS,KEDHS2014416085,DHS,864,794,2
Nyamira,2357798,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416086,1416086,EDLITRWMIS,KEDHS2014416086,DHS,334,624,2
Nairobi,4707526,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416001,1416090,EDLITRWMIS,KEDHS2014416001,DHS,3770,999,2
Nairobi,4707525,Women with missing information on literacy,0.2,2014,KE2014DHS,ED_LITR_W_MIS,231233070,S,416001,1416090,EDLITRWMIS,KEDHS2014416001,DHS,3770,999,1
Coast,6551870,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416003,1416010,EDLITRWTOT,KEDHS2014416003,DHS,3076,3902,1
Mombasa,1464933,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416011,1416011,EDLITRWTOT,KEDHS2014416011,DHS,912,598,2
Kwale,1947324,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416012,1416012,EDLITRWTOT,KEDHS2014416012,DHS,619,671,2
Kilifi,4533570,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416013,1416013,EDLITRWTOT,KEDHS2014416013,DHS,1043,824,2
Tana River,2812566,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416014,1416014,EDLITRWTOT,KEDHS2014416014,DHS,197,686,2
Lamu,2066958,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416015,1416015,EDLITRWTOT,KEDHS2014416015,DHS,89,600,2
Taita Taveta,5693540,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416016,1416016,EDLITRWTOT,KEDHS2014416016,DHS,215,523,2
North Eastern,4847176,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416008,1416020,EDLITRWTOT,KEDHS2014416008,DHS,648,1664,1
Garissa,4927724,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416021,1416021,EDLITRWTOT,KEDHS2014416021,DHS,261,609,2
Wajir,6572807,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416022,1416022,EDLITRWTOT,KEDHS2014416022,DHS,212,532,2
Mandera,6761244,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416023,1416023,EDLITRWTOT,KEDHS2014416023,DHS,175,523,2
Eastern,6754762,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416004,1416030,EDLITRWTOT,KEDHS2014416004,DHS,4375,5247,1
Marsabit,4762876,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416031,1416031,EDLITRWTOT,KEDHS2014416031,DHS,115,575,2
Isiolo,7346622,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416032,1416032,EDLITRWTOT,KEDHS2014416032,DHS,104,606,2
Meru,7150092,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416033,1416033,EDLITRWTOT,KEDHS2014416033,DHS,1110,682,2
Tharaka-Nithi,3782929,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416034,1416034,EDLITRWTOT,KEDHS2014416034,DHS,275,528,2
Embu,5713264,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416035,1416035,EDLITRWTOT,KEDHS2014416035,DHS,459,645,2
Kitui,3330119,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416036,1416036,EDLITRWTOT,KEDHS2014416036,DHS,759,747,2
Machakos,5862019,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416037,1416037,EDLITRWTOT,KEDHS2014416037,DHS,873,718,2
Makueni,1300655,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416038,1416038,EDLITRWTOT,KEDHS2014416038,DHS,680,746,2
Central,5669619,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416002,1416040,EDLITRWTOT,KEDHS2014416002,DHS,3994,3114,1
Nyandarua,2340836,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416041,1416041,EDLITRWTOT,KEDHS2014416041,DHS,436,562,2
Nyeri,6781125,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416042,1416042,EDLITRWTOT,KEDHS2014416042,DHS,650,708,2
Kirinyaga,6496681,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416043,1416043,EDLITRWTOT,KEDHS2014416043,DHS,451,560,2
Murang'a,6619710,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416044,1416044,EDLITRWTOT,KEDHS2014416044,DHS,735,633,2
Kiambu,6264014,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416045,1416045,EDLITRWTOT,KEDHS2014416045,DHS,1722,651,2
Rift Valley,4243557,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416006,1416050,EDLITRWTOT,KEDHS2014416006,DHS,7953,9059,1
Turkana,4546841,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416051,1416051,EDLITRWTOT,KEDHS2014416051,DHS,320,514,2
West Pokot,2096656,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416052,1416052,EDLITRWTOT,KEDHS2014416052,DHS,267,534,2
Samburu,1853703,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416053,1416053,EDLITRWTOT,KEDHS2014416053,DHS,123,579,2
Trans-Nzoia,7510189,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416054,1416054,EDLITRWTOT,KEDHS2014416054,DHS,768,695,2
Uasin Gishu,3322772,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416055,1416055,EDLITRWTOT,KEDHS2014416055,DHS,784,689,2
Elgeyo Marakwet,5856270,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416056,1416056,EDLITRWTOT,KEDHS2014416056,DHS,250,630,2
Nandi,1293521,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416057,1416057,EDLITRWTOT,KEDHS2014416057,DHS,628,742,2
Baringo,5902722,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416058,1416058,EDLITRWTOT,KEDHS2014416058,DHS,335,598,2
Laikipia,4966994,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416059,1416059,EDLITRWTOT,KEDHS2014416059,DHS,342,631,2
Nakuru,2350172,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416060,1416060,EDLITRWTOT,KEDHS2014416060,DHS,1574,741,2
Narok,5372512,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416061,1416061,EDLITRWTOT,KEDHS2014416061,DHS,642,702,2
Kajiado,6877627,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416062,1416062,EDLITRWTOT,KEDHS2014416062,DHS,670,642,2
Kericho,6611777,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416063,1416063,EDLITRWTOT,KEDHS2014416063,DHS,563,654,2
Bomet,4735879,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416064,1416064,EDLITRWTOT,KEDHS2014416064,DHS,687,708,2
Western,2350130,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416007,1416070,EDLITRWTOT,KEDHS2014416007,DHS,3225,2840,1
Kakamega,7140619,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416071,1416071,EDLITRWTOT,KEDHS2014416071,DHS,1108,725,2
Vihiga,1846873,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416072,1416072,EDLITRWTOT,KEDHS2014416072,DHS,368,634,2
Bungoma,7559992,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416073,1416073,EDLITRWTOT,KEDHS2014416073,DHS,1203,805,2
Busia,3930433,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416074,1416074,EDLITRWTOT,KEDHS2014416074,DHS,546,676,2
Nyanza,4901216,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416005,1416080,EDLITRWTOT,KEDHS2014416005,DHS,4038,4254,1
Siaya,6884906,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416081,1416081,EDLITRWTOT,KEDHS2014416081,DHS,572,654,2
Kisumu,6344529,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416082,1416082,EDLITRWTOT,KEDHS2014416082,DHS,820,696,2
Homa Bay,4749701,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416083,1416083,EDLITRWTOT,KEDHS2014416083,DHS,798,716,2
Migori,7036570,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416084,1416084,EDLITRWTOT,KEDHS2014416084,DHS,650,770,2
Kisii,5232364,Women's literacy: Total,100,2014,KE2014DHS,ED_LITR_W_TOT,231233080,T,416085,1416085,EDLITRWTOT,KEDHS2014416085,DHS,864,794,2
